Departement,Code_INSEE,pregion,code_DFCI,Jour,Heure,Surface_parcourue_m2,pTempMax_Deg,pTempMin_Deg,pWind_kmh,pWet_percent,pVisibility_km,pCloudCoverage_percent,pDayduration_hour,FFMC,ISI,SB
13,13082,languedoc-roussillon,KD44B92,2010-03-12,14:37:00,200,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,200
34,34286,languedoc-roussillon,GD86D1,2010-03-12,14:59:00,74500,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,74500
34,34013,languedoc-roussillon,GD80F0,2010-03-12,18:21:00,27000,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,27000
34,34109,languedoc-roussillon,GD62K6,2010-03-12,18:42:00,5000,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,5000
06,06023,languedoc-roussillon,MD08G92,2010-03-12,22:45:00,1045,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,1045
07,07322,languedoc-roussillon,HE46F33,2010-03-16,10:04:00,8518,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,8518
07,07025,languedoc-roussillon,HE46C33,2010-03-16,11:16:00,5000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,5000
04,04152,languedoc-roussillon,KD66H7,2010-03-16,11:48:00,5000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,5000
07,07202,languedoc-roussillon,HE24L45,2010-03-16,13:23:00,7419,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,7419
34,34224,languedoc-roussillon,GD62G3,2010-03-16,13:24:00,11000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,11000
34,34141,languedoc-roussillon,GD20B7,2010-03-16,13:57:00,280000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,280000
13,13030,languedoc-roussillon,KD60H72,2010-03-16,13:59:00,50000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,50000
34,34039,languedoc-roussillon,HD02D4,2010-03-16,14:06:00,2000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,2000
34,34238,languedoc-roussillon,HD06D6,2010-03-16,14:09:00,10600,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,10600
07,07275,languedoc-roussillon,HE44B54,2010-03-16,14:40:00,4000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,4000
13,13088,languedoc-roussillon,KD22L11,2010-03-16,15:44:00,9000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,9000
34,34268,languedoc-roussillon,GD84E8,2010-03-16,16:12:00,9200,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,9200
66,66165,languedoc-roussillon,GC02L94,2010-03-16,16:41:00,7000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,7000
04,04160,languedoc-roussillon,KD68C0,2010-03-16,16:44:00,3000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,3000
66,66071,languedoc-roussillon,GC24E51,2010-03-16,17:22:00,8000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,8000
34,34018,languedoc-roussillon,GD62D61,2010-03-16,17:58:00,10005,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,10005
2B,2B355,corse,NC64L45,2010-03-29,13:08:00,80000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,80000
2B,2B054,corse,NC64K33,2010-03-29,13:43:00,20000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,20000
2B,2B214,corse,NC84B14,2010-03-29,13:57:00,1800,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,1800
66,66084,corse,GC22K55,2010-03-29,15:53:00,5000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,5000
07,07275,corse,HE44B51,2010-04-06,14:46:00,16208,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,16208
2B,2B265,corse,NC64K82,2010-04-06,15:55:00,80000,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,80000
2B,2B148,corse,NC84A63,2010-04-06,21:49:00,1000,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,1000
06,06118,languedoc-roussillon,LD66A05,2010-04-09,14:22:00,2500,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,2500
34,34083,languedoc-roussillon,GD44K1,2010-04-09,14:59:00,10000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,10000
06,06031,languedoc-roussillon,MD06B81,2010-04-09,15:20:00,500,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,500
66,66165,languedoc-roussillon,GC02K82,2010-04-09,15:52:00,80000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,80000
06,06013,languedoc-roussillon,ME00A23,2010-04-09,17:43:00,1000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,1000
34,34061,languedoc-roussillon,GD62B6,2010-05-26,09:39:00,123700,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,123700
34,34173,languedoc-roussillon,GD48H72,2010-05-26,11:30:00,5000,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,5000
2A,2A004,languedoc-roussillon,NB28H14,2010-05-26,13:06:00,20,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,20
07,07281,languedoc-roussillon,HE88K85,2010-05-26,17:41:00,5000,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,5000
48,48173,languedoc-roussillon,HE20C8,2010-05-26,22:24:00,300,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,300
66,66198,provence-alpes-c-te-d-azur,GC04E35,2010-05-31,09:43:00,20000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,20000
66,66198,languedoc-roussillon,GC04E35,2010-05-31,09:43:00,20000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,20000
34,34159,provence-alpes-c-te-d-azur,HD02L8,2010-05-31,10:01:00,90400,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,90400
34,34159,languedoc-roussillon,HD02L8,2010-05-31,10:01:00,90400,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,90400
2A,2A271,provence-alpes-c-te-d-azur,NB48A42,2010-05-31,11:00:00,30,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,30
2A,2A271,languedoc-roussillon,NB48A42,2010-05-31,11:00:00,30,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,30
34,34292,provence-alpes-c-te-d-azur,GD64L3,2010-05-31,13:33:00,1000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,1000
34,34292,languedoc-roussillon,GD64L3,2010-05-31,13:33:00,1000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,1000
83,83124,provence-alpes-c-te-d-azur,LD44D51,2010-05-31,14:21:00,240000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,240000
83,83124,languedoc-roussillon,LD44D51,2010-05-31,14:21:00,240000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,240000
84,84111,provence-alpes-c-te-d-azur,KE20H9,2010-05-31,15:04:00,1000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,1000
84,84111,languedoc-roussillon,KE20H9,2010-05-31,15:04:00,1000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,1000
83,83083,provence-alpes-c-te-d-azur,LD02D93,2010-05-31,16:25:00,3000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,3000
83,83083,languedoc-roussillon,LD02D93,2010-05-31,16:25:00,3000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,3000
83,83134,provence-alpes-c-te-d-azur,LD22G84,2010-05-31,18:13:00,80000,20,18,44,72,10.0,18.0,15:9:0,83.35626385769356,10.870809958794638,80000
83,83134,languedoc-roussillon,LD22G84,2010-05-31,18:13:00,80000,22,19,31,73,10.0,30.0,15:11:0,83.38774253297203,5.6930821043309185,80000
2A,2A004,languedoc-roussillon,NB28H13,2010-06-28,12:04:00,500,28,21,11,75,9.875,13.0,15:25:0,83.58473868385485,2.1862485347107863,500
34,34234,languedoc-roussillon,GD62H81,2010-06-28,14:47:00,80000,28,21,11,75,9.875,13.0,15:25:0,83.58473868385485,2.1862485347107863,80000
66,66141,languedoc-roussillon,GC44D51,2010-06-28,15:02:00,20000,28,21,11,75,9.875,13.0,15:25:0,83.58473868385485,2.1862485347107863,20000
34,34245,languedoc-roussillon,GD42E1,2010-06-28,15:42:00,3300,28,21,11,75,9.875,13.0,15:25:0,83.58473868385485,2.1862485347107863,3300
26,26096,languedoc-roussillon,KF00E5,2010-07-06,11:58:00,3000,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,3000
83,83056,languedoc-roussillon,LD24H55,2010-07-06,12:29:00,1500,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,1500
30,30011,languedoc-roussillon,HD88G33,2010-07-06,13:05:00,43400,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,43400
34,34105,languedoc-roussillon,GD62E8,2010-07-06,14:31:00,100,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,100
13,13001,languedoc-roussillon,KD42A64,2010-07-06,16:58:00,1000,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,1000
13,13055,languedoc-roussillon,KD40G95,2010-07-06,17:40:00,4000,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,4000
13,13028,languedoc-roussillon,KD60D01,2010-07-06,18:02:00,30,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,30
11,11217,languedoc-roussillon,GD40D05,2010-07-06,20:24:00,105416,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,105416
13,13115,languedoc-roussillon,KD24E83,2010-07-06,22:53:00,300,28,22,19,69,10.0,1.0,15:18:0,84.8574093458904,4.405931342851581,300
2A,2A249,languedoc-roussillon,NB44D63,2010-07-08,13:00:00,1800,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,1800
34,34287,languedoc-roussillon,GD84F7,2010-07-08,15:01:00,80000,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,80000
13,13026,languedoc-roussillon,KD22E2,2010-07-08,16:44:00,1800,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,1800
48,48163,languedoc-roussillon,HE20E8,2010-07-08,19:01:00,150,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,150
34,34088,languedoc-roussillon,HD04E0,2010-07-08,21:06:00,400,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,400
26,26061,languedoc-roussillon,KF00B9,2010-07-08,21:08:00,300,28,24,17,67,10.0,6.0,15:16:0,85.3823297776777,4.447845490598029,300
2A,2A247,provence-alpes-c-te-d-azur,NB84D32,2010-07-24,01:06:00,20000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,20000
2A,2A247,languedoc-roussillon,NB84D32,2010-07-24,01:06:00,20000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,20000
2A,2A272,provence-alpes-c-te-d-azur,NB44G34,2010-07-24,02:48:00,2000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,2000
2A,2A272,languedoc-roussillon,NB44G34,2010-07-24,02:48:00,2000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,2000
2A,2A249,provence-alpes-c-te-d-azur,NB44D63,2010-07-24,11:30:00,800,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,800
2A,2A249,languedoc-roussillon,NB44D63,2010-07-24,11:30:00,800,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,800
2A,2A018,provence-alpes-c-te-d-azur,NB44K64,2010-07-24,11:36:00,250,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,250
2A,2A018,languedoc-roussillon,NB44K64,2010-07-24,11:36:00,250,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,250
13,13001,provence-alpes-c-te-d-azur,KD42F94,2010-07-24,13:46:00,5500,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,5500
13,13001,languedoc-roussillon,KD42F94,2010-07-24,13:46:00,5500,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,5500
26,26335,provence-alpes-c-te-d-azur,KE04E24,2010-07-24,14:15:00,10000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,10000
26,26335,languedoc-roussillon,KE04E24,2010-07-24,14:15:00,10000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,10000
11,11390,provence-alpes-c-te-d-azur,GC28L22,2010-07-24,14:40:00,2,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,2
11,11390,languedoc-roussillon,GC28L22,2010-07-24,14:40:00,2,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,2
84,84150,provence-alpes-c-te-d-azur,KE02E4,2010-07-24,15:20:00,500,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,500
84,84150,languedoc-roussillon,KE02E4,2010-07-24,15:20:00,500,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,500
84,84083,provence-alpes-c-te-d-azur,KE02F4,2010-07-24,17:11:00,10000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,10000
84,84083,languedoc-roussillon,KE02F4,2010-07-24,17:11:00,10000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,10000
2A,2A070,provence-alpes-c-te-d-azur,NB28F71,2010-07-24,17:26:00,2500,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,2500
2A,2A070,languedoc-roussillon,NB28F71,2010-07-24,17:26:00,2500,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,2500
34,34088,provence-alpes-c-te-d-azur,hd04f0,2010-07-24,17:33:00,8000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,8000
34,34088,languedoc-roussillon,hd04f0,2010-07-24,17:33:00,8000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,8000
13,13051,provence-alpes-c-te-d-azur,KD24D25,2010-07-24,17:34:00,35000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,35000
13,13051,languedoc-roussillon,KD24D25,2010-07-24,17:34:00,35000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,35000
34,34116,provence-alpes-c-te-d-azur,HD04L4,2010-07-24,18:24:00,77000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,77000
34,34116,languedoc-roussillon,HD04L4,2010-07-24,18:24:00,77000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,77000
13,13026,provence-alpes-c-te-d-azur,KD22C13,2010-07-24,20:47:00,9150000,27,19,45,61,10.0,7.0,14:49:0,85.97308291403283,20.502624084939043,9150000
13,13026,languedoc-roussillon,KD22C13,2010-07-24,20:47:00,9150000,28,19,24,65,10.0,17.0,14:51:0,85.34218595777494,6.277262747884892,9150000
13,13055,languedoc-roussillon,KD40C32,2010-07-26,00:03:00,1500,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,1500
11,11262,languedoc-roussillon,GC48F93,2010-07-26,05:21:00,2000,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,2000
34,34058,languedoc-roussillon,HD24F7,2010-07-26,10:13:00,116100,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,116100
04,04111,languedoc-roussillon,KD68H3,2010-07-26,12:00:00,600,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,600
11,11261,languedoc-roussillon,GC28C85,2010-07-26,12:13:00,5,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,5
11,11125,languedoc-roussillon,GC26L42,2010-07-26,14:09:00,89500,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,89500
34,34102,languedoc-roussillon,hd26d43,2010-07-26,14:52:00,50,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,50
2A,2A070,languedoc-roussillon,NB28E72,2010-07-26,15:36:00,5,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,5
2A,2A272,languedoc-roussillon,NB44G21,2010-07-26,16:13:00,10,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,10
07,07031,languedoc-roussillon,HE42E32,2010-07-26,16:37:00,24223,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,24223
13,13040,languedoc-roussillon,KD42L63,2010-07-26,18:45:00,200,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,200
2A,2A247,languedoc-roussillon,NB84D35,2010-07-26,19:35:00,30,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,30
11,11296,languedoc-roussillon,GD20L45,2010-07-26,23:43:00,200,27,21,22,67,10.0,16.0,14:47:0,85.06565163510588,5.3580991133039975,200
13,13041,languedoc-roussillon,KD42G75,2010-07-29,06:04:00,850,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,850
13,13040,languedoc-roussillon,KD42L65,2010-07-29,08:01:00,50,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,50
34,34150,languedoc-roussillon,GD80K7,2010-07-29,12:21:00,30000,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,30000
2A,2A017,languedoc-roussillon,NB28G33,2010-07-29,12:44:00,10000,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,10000
06,06048,languedoc-roussillon,MD08A05,2010-07-29,13:26:00,400,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,400
04,04022,languedoc-roussillon,LD28D5,2010-07-29,14:26:00,1000,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,1000
11,11014,languedoc-roussillon,GC48L93,2010-07-29,14:50:00,2251460,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,2251460
2B,2B283,languedoc-roussillon,NB88B01,2010-07-29,15:10:00,20,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,20
13,13069,languedoc-roussillon,KD24F41,2010-07-29,15:53:00,100,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,100
34,34327,languedoc-roussillon,HD24F5,2010-07-29,16:33:00,27800,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,27800
83,83050,languedoc-roussillon,LD24F43,2010-07-29,16:34:00,11250,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,11250
34,34202,languedoc-roussillon,HD04H1,2010-07-29,19:25:00,16300,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,16300
84,84050,languedoc-roussillon,KD28F1,2010-07-29,20:15:00,2000,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,2000
83,83026,languedoc-roussillon,LD02F53,2010-07-29,23:09:00,2500,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,2500
83,83057,languedoc-roussillon,LD02K31,2010-07-29,23:51:00,300,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,300
83,83057,languedoc-roussillon,LD02K44,2010-07-29,23:51:00,80,28,22,26,72,10.0,17.0,14:40:0,84.28737090259142,5.519374448663827,80
13,13040,languedoc-roussillon,KD42L63,2010-07-31,11:43:00,200,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,200
34,34143,languedoc-roussillon,HD02C4,2010-07-31,12:16:00,2200,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,2200
07,07148,languedoc-roussillon,HE22L45,2010-07-31,12:37:00,1000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,1000
2A,2A008,languedoc-roussillon,NB26K63,2010-07-31,13:59:00,3,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,3
11,11095,languedoc-roussillon,GC28A83,2010-07-31,15:13:00,1000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,1000
2A,2A017,languedoc-roussillon,NB28F32,2010-07-31,16:22:00,5000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,5000
07,07279,languedoc-roussillon,HE84D04,2010-07-31,16:37:00,100,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,100
07,07307,languedoc-roussillon,HE44F41,2010-07-31,16:44:00,5000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,5000
66,66108,languedoc-roussillon,GC24E24,2010-07-31,18:13:00,30000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,30000
30,30228,languedoc-roussillon,HD68C2,2010-07-31,18:25:00,6000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,6000
2A,2A215,languedoc-roussillon,NB62D51,2010-07-31,18:27:00,10,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,10
30,30181,languedoc-roussillon,HD48B0,2010-07-31,19:04:00,75000,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,75000
48,48061,languedoc-roussillon,HE02A2,2010-07-31,19:10:00,2500,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,2500
83,83141,languedoc-roussillon,LD24H15,2010-07-31,20:36:00,500,28,19,14,64,10.0,2.0,14:36:0,85.4940698242017,3.9115833511106577,500
34,34338,languedoc-roussillon,GD84D2,2010-08-11,04:18:00,140200,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,140200
34,34054,languedoc-roussillon,GD22B0,2010-08-11,04:53:00,500,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,500
34,34338,languedoc-roussillon,GD84D2,2010-08-11,10:50:00,6400,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,6400
30,30334,languedoc-roussillon,HD68E5,2010-08-11,12:10:00,4300,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,4300
34,34093,languedoc-roussillon,GD64F5,2010-08-11,12:33:00,3900,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,3900
2B,2B220,languedoc-roussillon,NC64C05,2010-08-11,13:01:00,15200,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,15200
11,11157,languedoc-roussillon,GC46B65,2010-08-11,14:03:00,28500,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,28500
66,66058,languedoc-roussillon,GC24F12,2010-08-11,15:05:00,5000,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,5000
07,07042,languedoc-roussillon,HE62K83,2010-08-11,15:49:00,500,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,500
26,26085,languedoc-roussillon,HE84E01,2010-08-11,16:14:00,11000,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,11000
05,05018,languedoc-roussillon,LE04B81,2010-08-11,16:33:00,10000,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,10000
34,34064,languedoc-roussillon,GD66L7,2010-08-11,17:05:00,200,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,200
34,34057,languedoc-roussillon,HD24D5,2010-08-11,17:05:00,200,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,200
34,34319,languedoc-roussillon,GD62K8,2010-08-11,19:08:00,29000,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,29000
83,83092,languedoc-roussillon,LD00L94,2010-08-11,22:33:00,1500,29,20,15,57,9.875,18.0,14:9:0,86.84239911442424,5.3148957097932765,1500
04,04242,languedoc-roussillon,KD88B0,2010-08-17,12:00:00,100,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,100
2B,2B306,languedoc-roussillon,NC62C12,2010-08-17,12:04:00,2000,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,2000
30,30073,languedoc-roussillon,HE20H3,2010-08-17,12:18:00,10000,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,10000
34,34187,languedoc-roussillon,GD42D9,2010-08-17,15:25:00,88000,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,88000
11,11262,languedoc-roussillon,GC48G64,2010-08-17,15:44:00,500,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,500
11,11386,languedoc-roussillon,GC28E12,2010-08-17,16:25:00,9174,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,9174
11,11304,languedoc-roussillon,FC86D12,2010-08-17,17:10:00,4000,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,4000
66,66174,languedoc-roussillon,GC24G14,2010-08-17,18:25:00,3000,27,17,19,69,10.0,0.0,13:55:0,84.37885799898777,3.9613278494641504,3000
34,34107,corse,GD24G0,2010-08-28,00:17:00,3500,26,17,26,86,9.0,9.0,13:19:0,81.79625846352366,2.761615222059115,3500
34,34107,languedoc-roussillon,GD24G0,2010-08-28,00:17:00,3500,27,20,24,70,10.0,2.0,13:25:0,84.43568404076827,5.162813023378751,3500
66,66190,corse,GC44E91,2010-08-28,01:12:00,30000,26,17,26,86,9.0,9.0,13:19:0,81.79625846352366,2.761615222059115,30000
66,66190,languedoc-roussillon,GC44E91,2010-08-28,01:12:00,30000,27,20,24,70,10.0,2.0,13:25:0,84.43568404076827,5.162813023378751,30000
66,66190,corse,GC46E03,2010-08-28,01:58:00,60000,26,17,26,86,9.0,9.0,13:19:0,81.79625846352366,2.761615222059115,60000
66,66190,languedoc-roussillon,GC46E03,2010-08-28,01:58:00,60000,27,20,24,70,10.0,2.0,13:25:0,84.43568404076827,5.162813023378751,60000
66,66069,corse,GC44H51,2010-08-28,03:20:00,30000,26,17,26,86,9.0,9.0,13:19:0,81.79625846352366,2.761615222059115,30000
66,66069,languedoc-roussillon,GC44H51,2010-08-28,03:20:00,30000,27,20,24,70,10.0,2.0,13:25:0,84.43568404076827,5.162813023378751,30000
2B,2B049,corse,NC24F13,2010-08-28,06:47:00,78500,26,17,26,86,9.0,9.0,13:19:0,81.79625846352366,2.761615222059115,78500
